iter	Passed	Remaining
402	12679	12490
403	12709	12457
404	12740	12425
405	12770	12393
406	12800	12360
407	12831	12327
408	12862	12296
409	12893	12264
410	12923	12232
411	12953	12198
412	12982	12165
413	13011	12131
414	13041	12098
415	13071	12066
416	13100	12032
417	13129	11998
418	13158	11964
419	13188	11932
420	13216	11898
421	13244	11863
422	13273	11829
423	13301	11795
424	13330	11761
425	13362	11731
426	13392	11698
427	13421	11665
428	13451	11633
429	13480	11599
430	13511	11568
431	13541	11535
432	13571	11502
433	13598	11468
434	13627	11434
435	13658	11402
436	13688	11370
437	13716	11336
438	13743	11301
439	13772	11268
440	13803	11237
441	13832	11203
442	13860	11169
443	13891	11138
444	13923	11107
445	13953	11075
446	13983	11042
447	14011	11008
448	14039	10975
449	14068	10942
450	14098	10910
451	14127	10877
452	14156	10844
453	14184	10810
454	14213	10777
455	14244	10745
456	14273	10712
457	14302	10680
458	14331	10647
459	14362	10615
460	14393	10584
461	14422	10551
462	14451	10518
463	14482	10487
464	14512	10455
465	14546	10426
466	14576	10394
467	14606	10362
468	14637	10330
469	14666	10297
470	14693	10263
471	14721	10230
472	14751	10198
473	14780	10165
474	14809	10132
475	14837	10099
476	14865	10066
477	14897	10035
478	14929	10004
479	14960	9973
480	14991	9942
481	15021	9910
482	15051	9878
483	15079	9845
484	15107	9811
485	15136	9779
486	15165	9746
487	15195	9715
488	15226	9683
489	15257	9652
490	15286	9620
491	15314	9587
492	15344	9555
493	15373	9522
494	15402	9490
495	15431	9458
496	15460	9425
497	15489	9393
498	15521	9362
499	15552	9331
500	15584	9300
501	15614	9269
502	15645	9238
503	15678	9207
504	15706	9175
505	15734	9142
506	15764	9110
507	15796	9079
508	15829	9049
509	15858	9017
510	15886	8984
511	15916	8953
512	15946	8921
513	15980	8891
514	16013	8861
515	16045	8831
516	16079	8801
517	16111	8771
518	16141	8739
519	16172	8708
520	16201	8676
521	16230	8644
522	16260	8612
523	16289	8579
524	16318	8547
525	16345	8514
526	16373	8482
527	16404	8450
528	16435	8419
529	16464	8387
530	16492	8355
531	16521	8323
532	16551	8291
533	16580	8259
534	16609	8227
535	16642	8196
536	16674	8166
537	16706	8136
538	16741	8106
539	16772	8075
540	16803	8044
541	16831	8012
542	16860	7979
543	16890	7948
544	16918	7916
545	16947	7883
546	16975	7851
547	17003	7819
548	17034	7788
549	17063	7755
550	17090	7723
551	17118	7691
552	17146	7658
553	17177	7627
554	17206	7595
555	17234	7563
556	17262	7530
557	17291	7499
558	17322	7468
559	17351	7436
560	17381	7404
561	17409	7372
562	17438	7340
563	17471	7310
564	17503	7280
565	17536	7250
566	17566	7218
567	17597	7187
568	17628	7156
569	17657	7124
570	17686	7093
571	17716	7061
572	17744	7029
573	17774	6998
574	17803	6966
575	17834	6935
576	17867	6905
577	17896	6873
578	17930	6843
579	17961	6813
580	17992	6781
581	18023	6751
582	18057	6721
583	18090	6690
584	18120	6659
585	18150	6628
586	18181	6597
587	18212	6566
588	18243	6535
589	18272	6503
590	18300	6471
591	18329	6440
592	18361	6409
593	18391	6378
594	18420	6346
595	18451	6315
596	18482	6284
597	18512	6253
598	18544	6222
599	18574	6191
600	18603	6159
601	18633	6128
602	18664	6097
603	18693	6066
604	18723	6034
605	18751	6003
606	18779	5971
607	18809	5939
608	18837	5908
609	18866	5876
610	18894	5844
611	18922	5812
612	18952	5781
613	18982	5750
614	19011	5719
615	19042	5687
616	19071	5656
617	19100	5625
618	19129	5593
619	19158	5562
620	19186	5530
621	19214	5498
622	19243	5467
623	19274	5436
624	19304	5405
625	19333	5373
626	19363	5342
627	19394	5311
628	19422	5280
629	19452	5249
630	19482	5217
631	19511	5186
632	19542	5155
633	19572	5124
634	19603	5093
635	19634	5062
636	19667	5032
637	19699	5002
638	19730	4971
639	19762	4940
640	19794	4910
641	19826	4879
