iter	MultiClass
168	0.6052091513
169	0.603998709
170	0.6023891732
171	0.6012767924
172	0.5996677212
173	0.5987562239
174	0.5972746329
175	0.5962729863
176	0.5949896702
177	0.5933779118
178	0.5923247896
179	0.590929832
180	0.5896631266
181	0.5883601076
182	0.5876923947
183	0.5867356624
184	0.5855964367
185	0.5846743606
186	0.5831897065
187	0.5822609797
188	0.5811347133
189	0.579467154
190	0.5784001376
191	0.5772152673
192	0.5758719493
193	0.5745033384
194	0.5736066042
195	0.5723556947
196	0.5707000032
197	0.5686491741
198	0.5674412324
199	0.5655732191
200	0.5644598665
201	0.5632575118
202	0.5615986453
203	0.5605268648
204	0.5592923434
205	0.5582776971
206	0.5574087016
207	0.5564710667
208	0.5550649984
209	0.5538857619
210	0.5532125099
211	0.551925874
212	0.551153341
213	0.5500033027
214	0.5488055521
215	0.5474948744
216	0.5468075455
217	0.5450968573
218	0.5440668343
219	0.542862911
220	0.5414833888
221	0.5404140363
222	0.5396385756
223	0.5388366556
224	0.5382962432
225	0.5367449498
226	0.5359324889
227	0.5350418724
228	0.5343543146
229	0.5328222191
230	0.5316986559
231	0.5303914373
232	0.5288014897
233	0.52760158
234	0.5266552372
235	0.5252812335
236	0.5242370917
237	0.5237119557
238	0.5225918057
239	0.5215008718
240	0.5200296834
241	0.519108247
242	0.5179376957
243	0.516726507
244	0.5153761834
245	0.5142167682
246	0.5133308387
247	0.5126993403
248	0.5119748223
249	0.5108393877
250	0.5093271844
251	0.5086643881
252	0.5070622677
253	0.5060015805
254	0.5049392272
255	0.5033101958
256	0.5024431937
257	0.5010137972
258	0.499622458
259	0.4985489175
260	0.4975936374
261	0.4962171378
262	0.495083406
263	0.4941190549
264	0.4931634679
265	0.4921515901
266	0.4911218452
267	0.4903207643
268	0.4889829387
269	0.4877333429
270	0.4867505871
271	0.4862053997
272	0.4850299105
273	0.4838254749
274	0.4824380545
275	0.4818476552
276	0.4808381949
277	0.4798110077
278	0.4792168921
279	0.478394839
280	0.4774662676
281	0.4763286458
282	0.4753473652
283	0.473982993
284	0.4729207368
285	0.4721059708
286	0.4714511153
287	0.4700476736
288	0.4689857651
289	0.4680687444
290	0.4674866284
291	0.4666681099
292	0.4660898015
293	0.4650660776
294	0.4639622916
295	0.4629197121
296	0.462276227
297	0.4614807597
298	0.4607796342
299	0.4598678221
300	0.4587043255
301	0.4578448409
302	0.4570409744
303	0.4562147482
304	0.4553676233
305	0.454624716
306	0.4536969898
307	0.4520669464
308	0.4508218433
309	0.4497718782
310	0.4493203967
311	0.4485695426
312	0.4473434239
313	0.4464782588
314	0.4453724107
315	0.4444396197
316	0.4439082234
317	0.4430406096
318	0.4419467851
319	0.4412319839
320	0.4402003955
321	0.4393954076
322	0.438330952
323	0.4375582158
324	0.4365578351
325	0.4359130041
326	0.4350277623
327	0.4344108141
328	0.4334753558
329	0.4325486269
330	0.4321247433
331	0.4308705692
332	0.4302548774
333	0.4296589524
334	0.4287950743
