date,home_team,away_team,home_goals,away_goals,bookie_home,bookie_draw,bookie_away,league,xG_home,xG_away,bookie_sum,bookie_prob_home,bookie_prob_draw,bookie_prob_away,result
2019-09-14,FC Koln,M'gladbach,0,1,2.5,3.5,2.7,BUNDESLIGA,,,1.0560846560846562,0.3787575150300601,0.2705410821643286,0.3507014028056112,A
2019-09-14,Mainz,Hertha,2,1,2.3,3.4,3.1,BUNDESLIGA,,,1.051480900915766,0.41349548842683415,0.2797175362887407,0.3067869752844253,H
2019-09-14,Union Berlin,Werder Bremen,1,2,2.87,3.5,2.4,BUNDESLIGA,1.98106,2.14722,1.0508130081300813,0.33158331030671456,0.2718983144515059,0.3965183752417795,A
2019-09-14,RB Leipzig,Bayern Munich,1,1,3.8,4.0,1.85,BUNDESLIGA,,,1.0536984352773824,0.249746878164023,0.23725953425582186,0.5129935875801553,D
2019-09-15,Hoffenheim,Freiburg,0,3,1.7,4.2,4.5,BUNDESLIGA,1.10385,1.78643,1.0485527544351072,0.5609973285841497,0.2270703472840606,0.21193232413178986,A
2019-09-15,Paderborn,Schalke 04,1,5,3.1,3.5,2.25,BUNDESLIGA,1.39508,1.9184,1.0527393753200205,0.306420233463035,0.2714007782101167,0.42217898832684825,A
2019-09-20,Schalke 04,Mainz,2,1,1.61,4.2,5.0,BUNDESLIGA,,,1.0592132505175982,0.5863956215793589,0.2247849882720876,0.1888193901485536,H
2019-09-21,Bayern Munich,FC Koln,4,0,1.11,10.0,21.0,BUNDESLIGA,,,1.0485199485199486,0.8592119798698906,0.09537252976555788,0.045415490364551364,H
2019-09-21,Freiburg,Augsburg,1,1,1.9,3.75,3.8,BUNDESLIGA,1.70133,0.884946,1.056140350877193,0.4983388704318937,0.25249169435215946,0.24916943521594684,D
2019-09-21,Hertha,Paderborn,2,1,1.7,4.0,4.75,BUNDESLIGA,,,1.0487616099071206,0.5608856088560886,0.23837638376383766,0.2007380073800738,H
2019-09-21,Leverkusen,Union Berlin,2,0,1.36,5.5,7.5,BUNDESLIGA,,,1.0504456327985738,0.6999830307144069,0.17308671304938064,0.12693025623621246,H
2019-09-21,Werder Bremen,RB Leipzig,0,3,4.2,4.2,1.72,BUNDESLIGA,,,1.0575858250276855,0.225130890052356,0.225130890052356,0.549738219895288,A
2019-09-22,M'gladbach,Fortuna Dusseldorf,2,1,1.66,4.0,5.0,BUNDESLIGA,,,1.052409638554217,0.5724098454493417,0.2375500858614768,0.19004006868918144,H
2019-09-22,Ein Frankfurt,Dortmund,2,2,4.33,4.0,1.75,BUNDESLIGA,,,1.0523754536456615,0.21945293518300807,0.23755780233560622,0.5429892624813857,D
2019-09-23,Wolfsburg,Hoffenheim,1,1,1.95,3.75,3.75,BUNDESLIGA,0.941782,0.743288,1.0461538461538462,0.4901960784313726,0.2549019607843137,0.2549019607843137,D
2019-09-27,Union Berlin,Ein Frankfurt,1,2,3.0,3.5,2.3,BUNDESLIGA,,,1.0538302277432714,0.3163064833005893,0.2711198428290766,0.41257367387033395,A
2019-09-28,Augsburg,Leverkusen,0,3,5.0,4.5,1.6,BUNDESLIGA,,,1.0472222222222223,0.19098143236074272,0.21220159151193632,0.5968169761273209,A
2019-09-28,Hoffenheim,M'gladbach,0,3,2.5,3.5,2.75,BUNDESLIGA,,,1.0493506493506493,0.38118811881188125,0.2722772277227723,0.34653465346534656,A
2019-09-28,Mainz,Wolfsburg,0,1,2.9,3.5,2.37,BUNDESLIGA,,,1.0524828001912243,0.32763251441662067,0.2714669405166285,0.40090054506675094,A
2019-09-28,Paderborn,Bayern Munich,2,3,15.0,10.0,1.14,BUNDESLIGA,0.281111,3.47305,1.0438596491228072,0.06386554621848739,0.09579831932773109,0.8403361344537814,A
2019-09-28,RB Leipzig,Schalke 04,1,3,1.53,4.33,6.0,BUNDESLIGA,,,1.0512083201255868,0.6217557060086298,0.21969658895916944,0.15854770503220061,A
2019-09-28,Dortmund,Werder Bremen,2,2,1.25,6.5,11.0,BUNDESLIGA,,,1.0447552447552448,0.7657295850066934,0.14725568942436412,0.08701472556894244,D
2019-09-29,Fortuna Dusseldorf,Freiburg,1,2,2.37,3.4,2.87,BUNDESLIGA,,,1.0644906310779947,0.396378245098079,0.2762989532007198,0.3273228017012011,A
2019-09-29,FC Koln,Hertha,0,4,2.15,3.6,3.3,BUNDESLIGA,,,1.0459243598778483,0.4446939921392476,0.26558113419427287,0.28972487366647953,A
2019-10-04,Hertha,Fortuna Dusseldorf,3,1,1.65,4.0,4.75,BUNDESLIGA,,,1.0665869218500799,0.5682242990654205,0.23439252336448596,0.19738317757009344,H
2019-10-05,Bayern Munich,Hoffenheim,1,2,1.11,9.0,26.0,BUNDESLIGA,1.77327,0.723738,1.0504735504735505,0.8576140736668498,0.10577240241891148,0.0366135239142386,A
2019-10-05,Freiburg,Dortmund,2,2,5.75,4.2,1.57,BUNDESLIGA,,,1.0489509567327346,0.16579711602529448,0.22698414693939126,0.6072187370353141,D
2019-10-05,Leverkusen,RB Leipzig,1,1,2.25,3.5,3.1,BUNDESLIGA,,,1.0527393753200205,0.42217898832684825,0.2714007782101167,0.306420233463035,D
2019-10-05,Paderborn,Mainz,1,2,2.5,3.5,2.8,BUNDESLIGA,,,1.042857142857143,0.3835616438356164,0.273972602739726,0.3424657534246575,A
2019-10-05,Schalke 04,FC Koln,1,1,1.57,4.33,5.5,BUNDESLIGA,,,1.0497077391945075,0.6067809651932196,0.2200106501970796,0.17320838460970087,D
2019-10-06,M'gladbach,Augsburg,5,1,1.5,4.33,6.5,BUNDESLIGA,,,1.0514597027299106,0.6340391980175715,0.2196440639783735,0.14631673800405498,H
2019-10-06,Wolfsburg,Union Berlin,1,0,1.66,4.0,5.0,BUNDESLIGA,1.80334,0.511105,1.052409638554217,0.5724098454493417,0.2375500858614768,0.19004006868918144,H
2019-10-06,Ein Frankfurt,Werder Bremen,2,2,2.1,3.6,3.4,BUNDESLIGA,,,1.0480859010270775,0.45434298440979953,0.2650334075723831,0.2806236080178174,D
2019-10-18,Ein Frankfurt,Leverkusen,3,0,2.75,3.9,2.3,BUNDESLIGA,,,1.0548292287422725,0.3447348193697155,0.24308224442736354,0.4121829362029208,H
2019-10-19,Augsburg,Bayern Munich,2,2,15.0,8.0,1.16,BUNDESLIGA,2.14428,3.06071,1.053735632183908,0.06326697572947915,0.11862557949277339,0.8181074447777476,D
2019-10-19,Fortuna Dusseldorf,Mainz,1,0,2.55,3.4,2.62,BUNDESLIGA,,,1.0679538991168986,0.3672039243167485,0.2754029432375613,0.35739313244569026,H
2019-10-19,RB Leipzig,Wolfsburg,1,1,1.53,4.5,5.75,BUNDESLIGA,,,1.049730036942313,0.6226312939902545,0.21169463995668653,0.16567406605305904,D
2019-10-19,Union Berlin,Freiburg,2,0,2.5,3.5,2.7,BUNDESLIGA,1.47678,0.565578,1.0560846560846562,0.3787575150300601,0.2705410821643286,0.3507014028056112,H
2019-10-19,Werder Bremen,Hertha,1,1,2.1,3.75,3.2,BUNDESLIGA,,,1.0553571428571429,0.45121263395375066,0.25267907501410036,0.2961082910321489,D
2019-10-19,Dortmund,M'gladbach,1,0,1.44,5.0,6.5,BUNDESLIGA,,,1.0482905982905981,0.6624541377904607,0.1907867916836527,0.14675907052588671,H
2019-10-20,FC Koln,Paderborn,3,0,1.65,4.5,4.33,BUNDESLIGA,,,1.0592297104999184,0.5721710787120644,0.20979606219442362,0.21803285909351183,H
2019-10-20,Hoffenheim,Schalke 04,2,0,2.75,3.4,2.55,BUNDESLIGA,0.973105,0.859284,1.049910873440285,0.34634974533106966,0.28013582342954163,0.3735144312393889,H
2019-10-25,Mainz,FC Koln,3,1,2.5,3.6,2.62,BUNDESLIGA,,,1.0594571670907549,0.3775518373228725,0.26218877591866147,0.3602593867584661,H
2019-10-26,Bayern Munich,Union Berlin,2,1,1.09,12.0,19.0,BUNDESLIGA,2.88476,1.7324,1.0533961049412521,0.8709270789564154,0.0791092096718744,0.04996371137171015,H
2019-10-26,Freiburg,RB Leipzig,2,1,4.0,3.8,1.85,BUNDESLIGA,,,1.0536984352773824,0.23725953425582186,0.249746878164023,0.5129935875801553,H
2019-10-26,Hertha,Hoffenheim,2,3,2.05,3.6,3.6,BUNDESLIGA,,,1.0433604336043363,0.46753246753246747,0.2662337662337662,0.2662337662337662,A
2019-10-26,Paderborn,Fortuna Dusseldorf,2,0,2.37,3.75,2.7,BUNDESLIGA,,,1.0589779653070792,0.39844165043385865,0.2518151230741987,0.3497432264919426,H
2019-10-26,Schalke 04,Dortmund,0,0,3.1,3.6,2.2,BUNDESLIGA,,,1.0549038774845227,0.30579150579150577,0.2633204633204633,0.43088803088803085,D
2019-10-26,Leverkusen,Werder Bremen,2,2,1.57,4.33,5.5,BUNDESLIGA,,,1.0497077391945075,0.6067809651932196,0.2200106501970796,0.17320838460970087,D
2019-10-27,Wolfsburg,Augsburg,0,0,1.57,4.33,5.5,BUNDESLIGA,0.955818,0.741183,1.0497077391945075,0.6067809651932196,0.2200106501970796,0.17320838460970087,D
2019-10-27,M'gladbach,Ein Frankfurt,4,2,1.83,4.0,3.75,BUNDESLIGA,,,1.0631147540983605,0.5140066820868672,0.23515805705474174,0.2508352608583912,H
2019-11-01,Hoffenheim,Paderborn,3,0,1.4,4.75,7.0,BUNDESLIGA,1.89547,0.464343,1.0676691729323309,0.6690140845070423,0.19718309859154928,0.13380281690140844,H
2019-11-02,Dortmund,Wolfsburg,3,0,1.5,4.5,6.5,BUNDESLIGA,,,1.0427350427350426,0.639344262295082,0.21311475409836067,0.1475409836065574,H
2019-11-02,Ein Frankfurt,Bayern Munich,5,1,6.5,5.25,1.4,BUNDESLIGA,,,1.0586080586080586,0.1453287197231834,0.17993079584775085,0.6747404844290658,H
2019-11-02,Leverkusen,M'gladbach,1,2,1.95,3.9,3.5,BUNDESLIGA,,,1.0549450549450552,0.48611111111111105,0.24305555555555552,0.27083333333333326,A
2019-11-02,RB Leipzig,Mainz,8,0,1.33,5.25,8.0,BUNDESLIGA,,,1.0673558897243107,0.7044320516583504,0.17845611975344877,0.11711182858820077,H
2019-11-02,Werder Bremen,Freiburg,2,2,1.85,3.8,3.8,BUNDESLIGA,2.02587,0.873641,1.0668563300142246,0.5066666666666666,0.24666666666666667,0.24666666666666667,D
2019-11-02,Union Berlin,Hertha,1,0,2.87,3.3,2.5,BUNDESLIGA,,,1.0514623587794318,0.3313785347043702,0.28819890745501286,0.380422557840617,H
2019-11-03,Fortuna Dusseldorf,FC Koln,2,0,2.8,3.4,2.5,BUNDESLIGA,,,1.0512605042016807,0.33972821742605913,0.2797761790567546,0.38049560351718625,H
2019-11-03,Augsburg,Schalke 04,2,3,4.0,3.6,1.85,BUNDESLIGA,1.55099,0.355124,1.0683183183183182,0.23401264933239635,0.26001405481377377,0.5059732958538299,A
2019-11-08,FC Koln,Hoffenheim,1,2,2.5,3.6,2.7,BUNDESLIGA,,,1.0481481481481483,0.38162544169611307,0.26501766784452296,0.3533568904593639,A
2019-11-09,Hertha,RB Leipzig,2,4,4.2,4.0,1.8,BUNDESLIGA,,,1.0436507936507937,0.22813688212927755,0.23954372623574144,0.532319391634981,A
2019-11-09,Mainz,Union Berlin,2,3,2.15,3.4,3.5,BUNDESLIGA,,,1.0449482118428768,0.44510940714419295,0.2814662427529456,0.27342435010286137,A
2019-11-09,Paderborn,Augsburg,0,1,2.62,3.75,2.5,BUNDESLIGA,1.20293,1.09006,1.0483460559796436,0.3640776699029127,0.254368932038835,0.3815533980582525,A
2019-11-09,Schalke 04,Fortuna Dusseldorf,3,3,1.5,4.2,7.0,BUNDESLIGA,,,1.0476190476190474,0.6363636363636365,0.2272727272727273,0.13636363636363638,D
2019-11-09,Bayern Munich,Dortmund,4,0,1.53,4.75,5.5,BUNDESLIGA,,,1.0459392688494855,0.6248878789690845,0.20127967469951563,0.17383244633139988,H
2019-11-10,M'gladbach,Werder Bremen,3,1,1.72,4.1,4.33,BUNDESLIGA,,,1.0562446700786896,0.5504362438997167,0.23091471695305188,0.21864903914723152,H
2019-11-10,Wolfsburg,Leverkusen,0,2,2.87,3.6,2.37,BUNDESLIGA,,,1.0481507617969488,0.33242551400886,0.2650170070015079,0.4025574789896322,A
2019-11-10,Freiburg,Ein Frankfurt,1,0,2.7,3.6,2.5,BUNDESLIGA,,,1.0481481481481483,0.3533568904593639,0.26501766784452296,0.38162544169611307,H
2019-11-22,Dortmund,Paderborn,3,3,1.14,9.0,15.0,BUNDESLIGA,,,1.0549707602339182,0.8314855875831485,0.10532150776053213,0.06319290465631928,D
2019-11-23,Ein Frankfurt,Wolfsburg,0,2,2.0,3.6,3.6,BUNDESLIGA,,,1.0555555555555556,0.47368421052631576,0.2631578947368421,0.2631578947368421,A
2019-11-23,Fortuna Dusseldorf,Bayern Munich,0,4,13.0,8.0,1.18,BUNDESLIGA,,,1.0493807040417211,0.07330330796707563,0.11911787544649789,0.8075788165864264,A
2019-11-23,Leverkusen,Freiburg,1,1,1.45,4.75,6.5,BUNDESLIGA,,,1.0540276420494208,0.6543046357615894,0.1997350993377483,0.14596026490066225,D
2019-11-23,Union Berlin,M'gladbach,2,0,3.6,3.6,2.05,BUNDESLIGA,,,1.043360433604336,0.26623376623376627,0.26623376623376627,0.4675324675324676,H
2019-11-23,Werder Bremen,Schalke 04,1,2,2.45,3.5,2.8,BUNDESLIGA,1.7254,0.660152,1.0510204081632653,0.3883495145631068,0.27184466019417475,0.33980582524271846,A
2019-11-23,RB Leipzig,FC Koln,4,1,1.33,5.75,7.5,BUNDESLIGA,,,1.0591260760597145,0.7099057574385776,0.16420428824231448,0.12588995431910777,H
2019-11-24,Augsburg,Hertha,4,0,2.62,3.5,2.62,BUNDESLIGA,,,1.0490730643402397,0.36382536382536385,0.27234927234927236,0.36382536382536385,H
2019-11-24,Hoffenheim,Mainz,1,5,1.65,4.33,4.75,BUNDESLIGA,,,1.0475338040671698,0.5785594734103152,0.22046723582610164,0.20097329076358317,A
2019-11-29,Schalke 04,Union Berlin,2,1,1.66,4.0,4.75,BUNDESLIGA,1.27089,1.65551,1.0629359543436907,0.5667412378821775,0.23519761372110362,0.19806114839671882,H
2019-11-30,FC Koln,Augsburg,1,1,1.95,4.0,3.5,BUNDESLIGA,,,1.0485347985347986,0.48908296943231444,0.23842794759825325,0.2724890829694323,D
2019-11-30,Hertha,Dortmund,1,2,4.0,4.0,1.8,BUNDESLIGA,,,1.0555555555555556,0.23684210526315788,0.23684210526315788,0.5263157894736842,A
2019-11-30,Hoffenheim,Fortuna Dusseldorf,1,1,1.7,3.8,5.0,BUNDESLIGA,,,1.0513931888544892,0.5594817432273262,0.2502944640753828,0.19022379269729095,D
2019-11-30,Paderborn,RB Leipzig,2,3,6.5,5.5,1.36,BUNDESLIGA,,,1.0709584533113945,0.1436527751104283,0.16977146149414252,0.6865757633954291,A
2019-11-30,Bayern Munich,Leverkusen,1,2,1.28,6.0,8.5,BUNDESLIGA,,,1.065563725490196,0.7331799884991376,0.156411730879816,0.11040828062104659,A
2019-12-01,M'gladbach,Freiburg,4,2,1.53,4.2,6.0,BUNDESLIGA,,,1.0583566760037348,0.6175562417291575,0.22496691662990734,0.15747684164093514,H
2019-12-01,Wolfsburg,Werder Bremen,2,3,2.15,3.75,3.0,BUNDESLIGA,2.7056,1.29088,1.0651162790697675,0.43668122270742354,0.25036390101892286,0.31295487627365354,A
2019-12-02,Mainz,Ein Frankfurt,2,1,2.8,3.75,2.37,BUNDESLIGA,,,1.045750452079566,0.341518243126405,0.2550002882010491,0.4034814686725459,H
2019-12-06,Ein Frankfurt,Hertha,2,2,1.8,3.9,4.2,BUNDESLIGA,,,1.05006105006105,0.5290697674418605,0.24418604651162792,0.22674418604651161,D
2019-12-07,Augsburg,Mainz,2,1,2.2,3.6,3.1,BUNDESLIGA,,,1.0549038774845225,0.4308880308880309,0.2633204633204634,0.3057915057915058,H
2019-12-07,Dortmund,Fortuna Dusseldorf,5,0,1.33,5.5,8.5,BUNDESLIGA,,,1.0513449398898316,0.7151598592626587,0.17293865687624294,0.11190148386109836,H
2019-12-07,Freiburg,Wolfsburg,1,0,2.9,3.5,2.4,BUNDESLIGA,0.434528,1.59205,1.047208538587849,0.3292826342610741,0.2728341826734614,0.39788318306546455,H
2019-12-07,M'gladbach,Bayern Munich,2,1,5.25,4.5,1.57,BUNDESLIGA,,,1.0496410878576483,0.18146792525524946,0.2117125794644577,0.6068194952802928,H
2019-12-07,RB Leipzig,Hoffenheim,3,1,1.44,4.75,6.5,BUNDESLIGA,,,1.0588169140800718,0.6558682952734998,0.19883165161975572,0.14530005310674457,H
2019-12-07,Leverkusen,Schalke 04,2,1,1.95,3.75,3.75,BUNDESLIGA,,,1.0461538461538462,0.4901960784313726,0.2549019607843137,0.2549019607843137,H
2019-12-08,Union Berlin,FC Koln,2,0,2.15,3.5,3.3,BUNDESLIGA,,,1.0538608678143562,0.44134505158578524,0.2711119602598395,0.28754298815437523,H
